Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
39,29.470072494905477,1.0494944701992392,4.007160704397093,531,1704,569,2804,0,569,0,0.2029243937232525,0.6077032810271041
40,30.296518508046834,1.0690249346019558,4.081731568480196,532,1849,585,2966,0,585,0,0.19723533378287256,0.6233985165205664
41,31.212870904884582,1.0904736167458386,4.16362653666593,580,1953,604,3137,0,604,0,0.1925406439273191,0.6225693337583679
42,32.17213225429112,1.112702973752057,4.248502263416947,631,2063,618,3312,0,618,0,0.18659420289855072,0.6228864734299517
43,32.84630274420047,1.1281937239780628,4.307648764279877,645,2203,647,3495,0,647,0,0.18512160228898425,0.6303290414878397
44,33.72450161777426,1.1482145487396718,4.384091913369655,668,2315,702,3685,0,702,0,0.19050203527815468,0.6282225237449118
45,34.66577764242247,1.1694813932989923,4.465292592596152,720,2458,690,3868,0,690,0,0.17838676318510857,0.6354705274043433
46,35.40236521520175,1.18598957213977,4.528323820897297,751,2597,701,4049,0,701,0,0.17312916769572734,0.6413929365275377
47,35.984885383661535,1.1989638834568308,4.577862100471536,789,2723,683,4195,0,683,0,0.1628128724672229,0.6491060786650775
48,36.450816813997506,1.20929111399026,4.617293344326446,806,2829,674,4309,0,674,0,0.15641680204223718,0.6565328382455327
49,36.822267888117665,1.217492722684287,4.648608577521827,845,2918,630,4393,0,630,0,0.14340997040746642,0.6642385613475984
50,37.117683348986,1.2239957978284908,4.673438500799693,907,2959,589,4455,0,589,0,0.13221099887766555,0.6641975308641975
51,37.3206165686611,1.2284530375718392,4.690457052547024,917,3021,563,4501,0,563,0,0.12508331481892912,0.671184181293046
52,37.44798750702915,1.2312464953326303,4.701122982179131,924,3085,526,4535,0,526,0,0.11598676957001103,0.6802646085997794
53,37.535640456612164,1.2331670316342147,4.708455938967003,961,3085,511,4557,0,511,0,0.11213517665130568,0.6769804696071977
54,37.63231760140024,1.2352835613777524,4.71653723435142,995,3093,486,4574,0,486,0,0.10625273283777875,0.6762133799737647
55,37.66726775537732,1.2360482706041742,4.71945703321594,999,3109,472,4580,0,472,0,0.10305676855895196,0.6788209606986899
56,37.69967745462309,1.236757183364958,4.722163791029833,1025,3109,450,4584,0,450,0,0.09816753926701571,0.6782286212914486
57,37.706344872978626,1.2369029977779356,4.722720536970296,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
58,37.70634487297861,1.2369029977779349,4.722720536970298,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
59,37.706344872978654,1.236902997777935,4.722720536970298,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
60,37.70634487297862,1.2369029977779349,4.722720536970297,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
61,37.70634487297862,1.236902997777935,4.722720536970297,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
62,37.70634487297862,1.236902997777935,4.722720536970297,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
63,37.70634487297865,1.2369029977779349,4.7227205369702965,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
64,37.70634487297864,1.2369029977779349,4.722720536970299,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
65,37.706344872978654,1.2369029977779344,4.722720536970298,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
66,37.70634487297865,1.2369029977779349,4.722720536970297,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
67,37.70634487297865,1.2369029977779353,4.7227205369702965,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
68,37.70634487297864,1.236902997777935,4.722720536970297,1025,3109,452,4586,0,452,0,0.09856083733100741,0.677932839075447
69,37.707711403229034,1.236932882317872,4.722834641577325,1028,3109,449,4586,0,449,0,0.09790667248146533,0.677932839075447
70,37.711631189089054,1.2370186017961684,4.7231619341308235,1056,3109,421,4586,0,419,2,0.09180113388573921,0.677932839075447
71,37.71336840471626,1.2370565909872975,4.723306983769681,1106,3109,371,4586,0,347,24,0.08089838639337113,0.677932839075447
72,37.684451747924356,1.2364241695544467,4.72089228375334,1138,3109,339,4586,0,271,68,0.07392062799825556,0.677932839075447
73,37.71838607373329,1.2371663134041988,4.723725923906941,1175,3109,302,4586,0,219,83,0.06585259485390318,0.677932839075447
74,37.69633245541382,1.2366840260108536,4.72188446295053,1187,3109,290,4586,0,167,123,0.06323593545573485,0.677932839075447
75,37.715922776402735,1.2371124485747549,4.723520258194517,1210,3109,267,4586,0,138,129,0.05822067160924553,0.677932839075447
76,37.68713208682038,1.2364827966779326,4.72111613277029,1215,3109,262,4586,0,117,145,0.057130396860008724,0.677932839075447
77,37.73581323101362,1.2375473589056603,4.72518082491252,1235,3109,242,4586,0,94,148,0.05276929786306149,0.677932839075447
78,37.69437336003535,1.2366411782891051,4.7217208625584,1227,3117,242,4586,0,77,165,0.05276929786306149,0.6796772786742259
